,[Paul McCartney],[Instrumental],title,[Verse 1: John Lennon],[Verse 2: John Lennon],[Bridge: Paul McCartney],[Verse 1: John Lennon]2,[Verse 1],[Chorus],[Verse 2],[Chorus]2,[Bridge],[Verse 2]2,[Verse 3],[Chorus]3,[x2],[Intro],[Pre-Chorus],[Refrain: John Lennon],[Bridge]2,[Chorus 1],[Instrumental Break],[Outro],[Verse],[Chorus 2],[Chorus 3],[Verse 4],[Bridge 1],[Bridge 2],[Verse 1: Paul McCartney and John Lennon],[Interlude: Paul McCartney],"[Bridge 1: John Lennon, <br/>& McCartney<br/>, <br/>& McCartney and George Harrison<br/>]",[Bridge 2: Paul McCartney],[Instrumental Verse],[Bridge 2: Paul McCartney]2,[Guitar Solo],[Instrumental Break 0:23-0:44],[Transition],[Engineer],[Verse 1]2,[Interlude],[Verse 1: Paul McCartney & John Lennon],[Chorus: Paul McCartney & John Lennon],[Verse 2: Paul McCartney & John Lennon],[Chorus: Paul McCartney & John Lennon]2,[Guitar Solo: John Lennon],[Spoken],[Chorus: John Lennon & Paul McCartney],[Chorus: John Lennon & Paul McCartney]2,[Intro: John Lennon & Paul McCartney],[Verse 1: John Lennon & Paul McCartney],[Verse 2: John Lennon & Paul McCartney],[Bridge: John Lennon & Paul McCartney],[Verse 1: John Lennon & Paul McCartney]2,[Intro: Paul McCartney & <br/>John Lennon<br/>],[Verse 1: Paul McCartney],[Chorus: Paul McCartney],[​​Interlude: Paul McCartney],"[Chorus: John Lennon, Paul McCartney, George Harrison]","[Chorus: John Lennon, Paul McCartney, George Harrison]2","[Bridge: John Lennon, <br/>Paul McCartney & George Harrison<br/>]",[Refrain],[Refrain]2,[Instrumental bridge],[Verse 2]3,[Bridge: John Lennon & Paul McCartney & George Harrison],[Chorus: John Lennon & Paul McCartney]3,[Guitar solo],[French Horn Solo],[Chorus: John Lennon],[Chorus: John Lennon]2,[Bridge: George Harrison],"[Intro: Paul McCartney, John Lennon and George Harrison]",[Verse 1: Paul McCartney (& John Lennon and George Harrison)],[Chorus: Paul McCartney (& John Lennon and George Harrison)],[Verse 2: Paul McCartney],[Chorus: Paul McCartney (& John Lennon and George Harrison)]2,"[Intro: Paul McCartney, John Lennon, George Harrison]",[Verse 1: John Lennon <br/>with Paul McCartney<br/>],[Verse 3: John Lennon with Paul McCartney],[Scatting],"[Verse 3: John Lennon, Paul McCartney & <br/>Ringo Starr<br/>]"
32,<br/>Red light<br/>,,Come and Get It (Studio Demo),,,,,"<br/>If you want it, here it is<br/>Come and get it<br/>Make your mind up fast<br/>",<br/>Did I hear you say that there must be a catch?<br/>Will you walk away from a fool and his money?<br/>,"<br/>If you want it, any time<br/>I can give it<br/>But you better hurry because it may not last<br/>",,,,"<br/>If you want it, here it is<br/>Come and get it<br/>But you better hurry because it's going fast<br/>",,,,,,,,,,,,,,,,,,,,,,,,,<br/>Demo take one<br/>,"<br/>If you want it, here it is<br/>Come and get it<br/>Make your mind up fast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,Blue Jay Way,,,,,"<br/>There's a fog upon L.A<br/>And my friends have lost their way<br/>""We'll be over soon,"" they said<br/>Now, they've lost themselves instead<br/>","<br/>Please, don't be long<br/>Please, don't you be very long<br/>Please, don't be long<br/>For I may be asleep<br/>","<br/>Well, it only goes to show<br/>And I told them where to go<br/>Ask a policeman on the street<br/>There's so many there to meet<br/>","<br/>Please, don't be long (Don't be long)<br/>Please, don't you be very long (Don't be long)<br/>Please, don't be long<br/>Or I may be asleep<br/>",,,"<br/>Now, it's past my bed I know (Know)<br/>And I'd really like to go (Go)<br/>Soon will be the break of day (Day)<br/>Sitting here in Blue Jay Way (Way)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,Christmas Time (Is Here Again),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,Come Together,,,,,"<br/>Here come old flat-top, he come groovin' up slowly<br/>He got ju-ju eyeball,<br/> <br/>he one holy roller<br/>He got hair down to his knee<br/>Got to be a joker, he just do what he please<br/>","<br/>Come together, right now<br/>Over me","<br/>He wear no shoeshine, he got toe-jam football<br/>He got monkey finger, he shoot Coca-Cola<br/>He say, ""I know you, you know me""<br/>One thing I can tell you is you got to be free<br/>",,,,,,,<br/>Shoot me<br/>Shoot me<br/>Shoot me<br/>Shoot me<br/>,,,,,,,,,,,,,,,,,,,,,,,,<br/>Shoot me<br/>Shoot me<br/>Shoot me<br/>Shoot me<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,Day Tripper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<br/>Got a good reason<br/>For taking the easy way out<br/>Got a good reason<br/>For taking the easy way out, now<br/>","<br/>She was a day tripper<br/>A one way ticket, yeah<br/>It took me so long<br/>To find out, and I found out<br/>","<br/>She's a big teaser<br/>She took me half the way there<br/>She's a big teaser<br/>She took me half the way there, now<br/>","<br/>She was a day tripper<br/>A one way ticket, yeah<br/>It took me so long<br/>To find out, and I found out<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,Devil in Her Heart,,,,,"<br/>I'll take my chances, for romance is<br/>So important to me<br/>She'll never hurt me, she won't desert me<br/>She's an angel sent to me<br/>","<br/>(She's got the devil in her heart)<br/>But her eyes, they tantalize<br/>(She's going to tear your heart apart)<br/>Oh, her lips, they really thrill me<br/>","<br/>I can't believe that she'll ever, ever go<br/>Not when she hugs me and says she loves me so<br/>She'll never hurt me, she won't desert me<br/>Listen, can't you see?<br/>","<br/>(She's got the devil in her heart)<br/>No, no, this I can't believe<br/>(She's going to tear your heart apart)<br/>No, no, nay will she deceive<br/>",,,,"<br/>(She's got the devil in her heart)<br/>Oh, no, no, no, this I can't believe<br/>(She's going to tear your heart apart)<br/>No, no, nay will she deceive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,Dig It,,,,,,,,,,,,,,,,,,,,,"<br/>Like a rolling stone<br/>Like a rolling stone<br/>Like a rolling stone<br/>Like the FBI<br/>And the CIA<br/>And the BBC<br/>B.B. King<br/>And <br/>Doris Day<br/>Matt Busby<br/>, dig it, <br/>dig it<br/>Dig it, dig it, dig it<br/>",,,,,,,,,,,,,,,,,,,,,,,"<br/>That was ""Can You Dig It"" by <br/>Georgie Wood<br/>And now we'd like to do <br/>""Hark the Angels Come""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,Can’t Buy Me Love,,,,,"<br/>I'll buy you a diamond ring, my friend<br/>If it makes you feel alright<br/>I'll get you anything, my friend<br/>If it makes you feel alright<br/>'Cause I don't care too much for money<br/>Money can't buy me love<br/>","<br/>Can't buy me love, everybody tells me so<br/>Can't buy me love, no-no-no, no!<br/>",<br/>I'll give you all I've got to give<br/>If you say you love me too<br/>I may not have a lot to give<br/>But what I got I'll give to you<br/>I don't care too much for money<br/>Money can't buy me love<br/>,,,,<br/>Say you don't need no diamond rings<br/>And I'll be satisfied<br/>Tell me that you want the kind of things<br/>That money just can't buy<br/>I don't care too much for money<br/>Money can't buy me love<br/>Ow!,,,"<br/>Can't buy me love, love<br/>Can't buy me love<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,Child of Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,Dig a Pony,,,,,"<br/>I dig a pony<br/>Well, you can celebrate anything you want<br/>Yes, you can celebrate anything you want<br/>Oh!<br/>I do a <br/>road hog<br/>Well, you can penetrate any place you go<br/>Yes, you can penetrate any place you go<br/>I told you so<br/>",<br/>All I want is you<br/>Everything has got to be just like you want it to<br/>Because<br/>,"<br/>I pick a moon dog<br/>Well, you can radiate everything you are<br/>Yes, you can radiate everything you are<br/>Oh, now<br/>I roll a stoney<br/>Well, you can imitate everyone you know<br/>Yes, you can imitate everyone you know<br/>I told you so<br/>",<br/>All I want is you<br/>Everything has got to be just like you want it to<br/>Because,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,Doctor Robert,,,,,"<br/>Ring, my friend I said you'd call<br/>Doctor Robert<br/>Day or night he'll be there any time at all<br/>Doctor Robert<br/>",,<br/>If you're down he'll pick you up<br/>Doctor Robert<br/>Take a drink from his special cup<br/>Doctor Robert<br/>,,,,,,,,,,,<br/>Doctor Robert<br/>You're a new and better man<br/>He helps you to understand<br/>He does everything he can<br/>Doctor Robert<br/>,,,,<br/>Doctor Robert<br/>He's a man you must believe<br/>Helping anyone in need<br/>No one can succeed like<br/>Doctor Robert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,Don’t Ever Change,,,,,"<br/>You never wear a stitch of lace<br/>Your powder's never on your face<br/>You're always wearing jeans except on Sunday<br/>So, please, don't ever change<br/>Now, don't you ever change<br/>I kind of like you just the way you are<br/>",,"<br/>You don't know the latest dance<br/>But when it's time to make romance<br/>Your kisses let me know you're not a tomboy<br/>So, please, don't ever change<br/>Now, don't you ever change<br/>Just promise me you're always going to be<br/>As sweet as you are<br/>",,"<br/>I love you when you're happy<br/>I love you when you're blue<br/>I love you when you're mad at me<br/>So, how can I get tired of you?<br/>",,"<br/>Now, lots of other girls I've seen<br/>They know how to treat guys mean<br/>But you would rather die than ever hurt me<br/>So, please, don't ever change<br/>Now, don't you ever change<br/>Just promise me you're always going to be<br/>As sweet as you are",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,Drive My Car,,,,,"<br/>Asked a girl what she wanted to be<br/>She said baby, can't you see<br/>I wanna be famous, a star on the screen<br/>But you can do something in between<br/>","<br/>Baby, you can drive my car<br/>Yes, I'm gonna be a star<br/>Baby, you can drive my car<br/>And maybe I'll love you<br/>","<br/>I told that girl that my prospects were good<br/>And she said baby, it's understood<br/>Working for peanuts is all very fine<br/>But I can show you a better time<br/>","<br/>Baby, you can drive my car<br/>Yes, I'm gonna be a star<br/>Baby, you can drive my car<br/>And maybe I'll love you<br/>Beep beep'm beep beep yeah!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,Clarabella,,,,,"<br/>Well, I got a baby crazy for me<br/>Yeah, I got a baby won't let me be<br/>Who, baby baby, Clarabella<br/>Baby baby, Clarabella<br/>Baby baby, wo wo, yeah uh<br/>Well, she needs no coaching on making love<br/>All she needs is the stars up above<br/>Who, baby baby, Clarabella<br/>Baby baby, Clarabella<br/>Baby baby, wo wo, yeah uh<br/>Ahh! Woo hoo<br/>","<br/>Well now, Clarabella<br/>You're my honey, Clarabella<br/>Ooh yeah now, Clarabella<br/>I said you're my baby<br/>Clarabella<br/>Yeah, Clarabella, baby<br/>Wo wo, yeah yeh<br/>","<br/>Well, she's got no time for a dungeries<br/>Already knows her ABC's<br/>Who, baby baby, Clarabella<br/>Baby baby, Clarabella<br/>Baby baby, wo wo, yeah yeh<br/>Ahh ow! Woo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,Don’t Bother Me,,,,,"<br/>Since she's been gone<br/>I want no one to talk to me<br/>It's not the same, but I'm to blame, it's plain to see<br/>So go away, leave me alone<br/>Don't bother me<br/>",,"<br/>I can't believe that she would leave me on my own<br/>It's just not right, when every night I'm all alone<br/>I've got no time for you right now<br/>Don't bother me<br/>",,<br/>I know I'll never be the same<br/>If I don't get her back again<br/>Because I know she'll always be<br/>The only girl for me<br/>,,"<br/>But till she's here<br/>Please, don't come near, just stay away<br/>I'll let you know when she's come home until that day<br/>Don't come around, leave me alone<br/>Don't bother me",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,Eight Days a Week,"<br/>Ooh, I need your love, babe<br/>Guess you know it's true<br/>Hope you need my love, babe<br/>Just like I need you<br/>","<br/>Love you everyday, girl<br/>Always on my mind<br/>One thing I can say girl<br/>Love you all the time<br/>",,,,,,,,,,,,<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<br/>Hold me, love me<br/>Hold me, love me<br/>I ain't got nothing but love, babe<br/>Eight days a week<br/>","<br/>Hold me, love me<br/>Hold me, love me<br/>I ain't got nothing but love, girl<br/>Eight days a week",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,Every Little Thing,,,,,"<br/>When I'm walking beside her<br/>People tell me I'm lucky<br/>Yes, I know I'm a lucky guy<br/>I remember the first time<br/>I was lonely without her<br/>Can't stop thinking about her now<br/>","<br/>Every little thing she does<br/>She does for me, yeah<br/>And you know the things she does<br/>She does for me, oooh<br/>","<br/>When I'm with her I'm happy<br/>Just to know that she loves me<br/>Yes, I know that she loves me now<br/>There is one thing I'm sure of<br/>I will love her forever<br/>For I know love will never die<br/>","<br/>Every little thing she does<br/>She does for me, yeah<br/>And you know the things she does<br/>She does for me, oooh",,,,,,<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,Cry Baby Cry,,,,,<br/>The king of Marigold was in the kitchen<br/>Cooking breakfast for the queen<br/>The queen was in the parlour<br/>Playing piano for the children of the king<br/>,<br/>Cry baby cry<br/>Make your mother sigh<br/>She's old enough to know better<br/>So cry baby cry<br/>,<br/>The king was in the garden<br/>Picking flowers for a friend who came to play<br/>The queen was in the playroom<br/>Painting pictures for the children's holiday<br/>,<br/>Cry baby cry<br/>Make your mother sigh<br/>She's old enough to know better<br/>So cry baby cry,,,,,,<br/>Cry baby cry<br/>Make your mother sigh<br/>She's old enough to know better<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,Dear Prudence,,,,,"<br/>Dear Prudence<br/>Won't you come out to play?<br/>Dear Prudence<br/>Greet the brand new day, hey<br/>The sun is up, the sky is blue<br/>It's beautiful, and so are you<br/>Dear Prudence<br/>Won't you come out to play?<br/>",,"<br/>Dear Prudence<br/>Open up your eyes<br/>Dear Prudence<br/>See the sunny skies<br/>The wind is low, the birds will sing<br/>That you are part of everything<br/>Dear Prudence<br/>Won't you open up your eyes?<br/>",,"<br/>Look around, round, round<br/>Look around, round, round<br/>Look around",,,,,<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,Don’t Pass Me By,,,,,"<br/>I listen for your footsteps coming up the drive<br/>Listen for your footsteps, but they don't arrive<br/>Waiting for your knock, dear, on my old front door<br/>I don't hear it--does it mean you don't love me any more?<br/>","<br/>Don't pass me by, don't make me cry, don't make me blue<br/>'Cause you know, darling, I love only you<br/>You'll never know it hurt me so, how I hate to see you go<br/>Don't pass me by<br/>Don't make me cry<br/>","<br/>I hear the clock a'ticking on the mantel shelf<br/>See the hands a'moving, but I'm by myself<br/>I wonder where you are tonight, and why I'm by myself<br/>I don't see you, does it mean you don't love me any more?<br/>","<br/>Don't pass me by, don't make me cry, don't make me blue<br/>'Cause you know, darling, I love only you<br/>You'll never know it hurt me so, I'll hate to see you go<br/>Don't pass me by<br/>Don't make me cry",,,"<br/>I'm sorry that I doubted you, I was so unfair<br/>You were in a car crash, and you lost your hair<br/>You said that you would be late, about an hour or two<br/>I said that's alright, I'm waiting here, just waiting to hear from you<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,Everybody’s Got Something to Hide Except Me and My Monkey,,,,,"<br/>Come on, come on, come on, come on<br/>Come on, it's such a joy, come on, it's such a joy<br/>Come on, let's take it easy, come on let's take it easy<br/>",<br/>Take it easy<br/>Take it easy<br/>Everybody's got something to hide<br/>Except for me and my monkey<br/>Woo!<br/>,"<br/>The deeper you go, the higher you fly<br/>The higher you fly, the deeper you go<br/>So come on, come on<br/>Come on, it's such a joy, come on, it's such a joy<br/>Come on, let's make it easy, come on, let's take it easy<br/>","<br/>Take it easy<br/>Take it easy<br/>Everybody's got something to hide<br/>Except for me and my monkey, yeah<br/>Oh!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,From Me to You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<br/>Da da da da da dum dum da<br/>Da da da da da dum dum da<br/>,"<br/>If there's anything that you want<br/>If there's anything I can do<br/>Just call on me and I'll send it along<br/>With love, from me to you<br/>","<br/>I've got everything that you want<br/>Like a heart that's oh so true<br/>Just call on me and I'll send it along<br/>With love, from me to you<br/>","<br/>I got arms that long to hold you<br/>And keep you by my side<br/>I got lips that long to kiss you<br/>And keep you satisfied, <br/>oooh<br/>","<br/>If there's anything that you want<br/>If there's anything I can do<br/>Just call on me and I'll send it along<br/>With love, from me to you",,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,Get Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<br/>Get back, get back<br/>Back to where you once belonged<br/>Get back, get back<br/>Back to where you once belonged<br/>Get back, Jo",,,,,,,,,,,,"<br/>Rosetta...<br/>Sweet Loretta Fart she thought she was a cleaner<br/>But she was a frying pan<br/>Sweet Rosetta Martin... Rosetta<br/>The picker, the picker, picture the fingers burning<br/>Ooh<br/>Okay<br/>","<br/>Jojo was a man who thought he was a loner<br/>But he knew it couldn't last<br/>Jojo left his home in Tucson, Arizona<br/>For some California grass<br/>","<br/>Get back, get back<br/>Get back to where you once belonged<br/>Get back, get back<br/>Get back to where you once belonged<br/>Get back, Jojo<br/>",<br/>Go home<br/>,,,,,,,,,,,,,,,,,,,,,,,,
55,,,Girl,"<br/>Is there anybody going to listen to my story<br/>All about the girl who came to stay?<br/>She's the kind of girl you want so much, it makes you sorry<br/>Still, you don't regret a single day<br/>",<br/>When I think of all the times I've tried so hard to leave her<br/>She will turn to me and start to cry<br/>And she promises the Earth to me and I believe her<br/>After all this time I don't know why<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<br/>Ah, girl<br/>Girl, girl<br/>","<br/>Ah, girl<br/>Girl, girl<br/>","<br/>She's the kind of girl who puts you down<br/> <br/>(<br/>Tit, tit, tit, tit, tit, tit, tit, tit<br/>)<br/>When friends are there, you feel a fool<br/> <br/>(<br/>Tit, tit, tit, tit, tit, tit, tit, tit<br/>)<br/>(<br/>Tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit<br/>)<br/>When you say she's looking good<br/> <br/>(<br/>Tit, tit, tit, tit, tit, tit, tit, tit<br/>)<br/>She acts as if it's understood<br/> <br/>(<br/>Tit, tit, tit, tit, tit, tit, tit, tit<br/>)<br/>She's cool, ooh, ooh, ooh<br/> <br/>(<br/>Tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit, tit<br/>)",,,,,,,,,,,,,,,,,,,,,
56,,,Glass Onion,,,,,<br/>I told you 'bout Strawberry Fields<br/>You know the place where nothing is real<br/>Well here's another place you can go<br/>Where everything flows<br/>,,"<br/>I told you 'bout the walrus and me, man<br/>You know that we're as close as can be, man<br/>Well, here's another clue for you all<br/>The walrus was Paul<br/>",,"<br/>Oh yeah, oh yeah, oh yeah<br/>Looking through a glass onion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<br/>Looking through the bent back tulips<br/>To see how the other half lives<br/>Looking through a glass onion<br/>,"<br/>Standing on the cast iron shore, yeah<br/>Lady Madonna trying to make ends meet, yeah<br/>Looking through a glass onion<br/>",,,,,,,,,,,,,,,,,,,
57,,,Good Day Sunshine,,,,,"<br/>I need to laugh, and when the sun is out<br/>I've got something I can laugh about<br/>I feel good, in a special way<br/>I'm in love and it's a sunny day<br/>",<br/>Good day sunshine<br/>Good day sunshine<br/>Good day sunshine<br/>,"<br/>We take a walk, the sun is shining down<br/>Burns my feet as they touch the ground<br/>",<br/>Good day sunshine<br/>Good day sunshine<br/>Good day sunshine<br/>,,,"<br/>And then we lie, beneath a shady tree<br/>I love her and she's loving me<br/>She feels good, she knows she's looking fine<br/>I'm so proud to know that she is mine",<br/>Good day sunshine<br/>Good day sunshine<br/>Good day sunshine<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,Good Night,,,,,"<br/>Now it's time to say good night<br/>Good night, sleep tight<br/>Now the sun turns out his light<br/>Good night, sleep tight<br/>",,"<br/>Close your eyes and I'll close mine<br/>Good night, sleep tight<br/>Now the moon begins to shine<br/>Good night, sleep tight<br/>",,<br/>Dream sweet dreams for me (Dream sweet)<br/>Dream sweet dreams for you (Dream sweet dreams)<br/>,,,,,,,,<br/>Dream sweet dreams for me (Dream sweet)<br/>Dream sweet dreams for you (Dream sweet dreams)<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<br/>Mmm<br/>,"<br/>Close your eyes and I'll close mine<br/>Good night, sleep tight<br/>Now the sun turns out his light<br/>Good night, sleep tight",,,,,,,,,,,,,,,,,
59,,,Got to Get You into My Life,,,,,"<br/>I was alone, I took a ride<br/>I didn't know what I would find there<br/>Another road where maybe I<br/>Could see another kind of mind there<br/>Ooh, then I suddenly see you<br/>Ooh, did I tell you I need you<br/>Every single day of my life?<br/>",,"<br/>You didn't run, you didn't lie<br/>You knew I wanted just to hold you<br/>And had you gone, you knew in time<br/>We'd meet again, for I had told you<br/>Ooh, you were meant to be near me<br/>Ooh, and I want you to hear me<br/>Say we'll be together every day<br/>",,,,"<br/>What can I do, what can I be?<br/>When I'm with you I want to stay there<br/>If I'm true, I'll never leave<br/>And if I do, I know the way there<br/>Ooh, then I suddenly see you<br/>Ooh, did I tell you I need you<br/>Every single day of my life",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<br/>Got to get you into my life<br/>,,,,,,,,,,,,,,,,,,,,
60,,,Don’t Let Me Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<br/>Don't let me down, don't let me down<br/>Don't let me down, don't let me down<br/>","<br/>Don't let me down, don't let me down<br/>Don't let me down, don't let me down<br/>",,"<br/>Nobody ever loved me like she does<br/>Oh, she does<br/>Yeah, she does<br/>And if somebody loved me like she do me<br/>Oh, she do me<br/>Yes, she does<br/>",,,,,,,,,,,,,,,<br/>I'm in love for the first time<br/>Don't you know it's gonna last<br/>It's a love that lasts forever<br/>It's a love that has no past (Seeking past)<br/>,"<br/>Don't let me down, don't let me down<br/>Don't let me down, don't let me down",,,,,,,,,,,,,,,
61,,,Fixing a Hole,,,,,<br/>I'm fixing a hole where the rain gets in<br/>And stops my mind from wandering<br/>Where it will go<br/>,,<br/>I'm filling the cracks that ran through the door<br/>And kept my mind from wandering<br/>Where it will go<br/>,,"<br/>And it really doesn't matter if I'm wrong, I'm right<br/>Where I belong, I'm right<br/>Where I belong<br/>See the people standing there who disagree and never win<br/>And wonder why they don't get in my door<br/>",,"<br/>I'm painting the room in a colorful way<br/>And when my mind is wandering<br/>There I will go<br/>Ooh, ooh, ooh, ah, ah<br/>Hey, hey, hey, hey<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,For No One,,,,,"<br/>Your day breaks, your mind aches<br/>You find that all her words of kindness linger on<br/>When she no longer needs you<br/>",,"<br/>She wakes up, she makes up<br/>She takes her time and doesn't feel she has to hurry<br/>She no longer needs you<br/>",,"<br/>And in her eyes, you see nothing<br/>No sign of love behind the tears<br/>Cried for no one<br/>A love that should have lasted years<br/>",,"<br/>You want her, you need her<br/>And yet you don't believe her when she says her love is dead<br/>You think she needs you<br/>",,,,,,<br/>And in her eyes you see nothing<br/>No sign of love behind the tears<br/>Cried for no one<br/>A love that should have lasted years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<br/>,,,,,,,,,,,,,
63,,,Free as a Bird,,,<br/>Whatever happened to<br/>The life that we once knew?<br/>Can we really live without each other?<br/>Where did we lose the touch<br/>That seemed to mean so much?<br/>It always made me feel so<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<br/>Free as a bird<br/>It's the next best thing to be<br/>Free as a bird<br/>Home, home and dry<br/>Like a homing bird I'll fly<br/>As a bird on wings<br/>","<br/>Free as a bird<br/>It's the next best thing to be<br/>Free as a bird<br/>Home, home and dry<br/>Like a homing bird I'll fly<br/>As a bird on wings<br/>",<br/>Whatever happened to<br/>The life that we once knew?<br/>Always made me feel so free,,,,,,,,,,
64,,,Getting Better,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<br/>It's getting better all the time<br/>,"<br/>I used to get mad at my school (No, I can't complain)<br/>The teachers who taught me weren't cool (No, I can't complain)<br/>You're holding me down (Ah-ah), turning me 'round (Ah-oh)<br/>Filling me up with your rules (Fool, you fool)<br/>",<br/>I've got to admit it's getting better (Better)<br/>A little better all the time (It can't get no worse)<br/>I have to admit it's getting better (Better)<br/>It's getting better since you've been mine<br/>,"<br/>Me used to be angry young man<br/>Me hiding me head in the sand<br/>You gave me the word, I finally heard<br/>I'm doing the best that I can<br/>",<br/>I've got to admit it's getting better (Better)<br/>A little better all the time (It can't get no worse)<br/>I have to admit it's getting better (Better)<br/>It's getting better since you've been mine<br/>Getting so much better all the time!,,,,,
65,,,Golden Slumbers,,,,,"<br/>Once there was a way to get back homeward<br/>Once there was a way to get back home<br/>Sleep pretty darling, do not cry<br/>And I will sing a lullaby<br/>","<br/>Golden slumbers fill your eyes<br/>Smiles await you when you rise<br/>Sleep pretty darling, do not cry<br/>And I will sing a lullaby<br/>","<br/>Once there was a way to get back homeward<br/>Once there was a way to get back home<br/>Sleep pretty darling, do not cry<br/>",,,,,,,,,,,,,<br/>And I will sing a lullaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,Eleanor Rigby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<br/>Eleanor Rigby<br/>Picks up the rice in the church where a wedding has been<br/>Lives in a dream<br/>Waits at the window<br/>Wearing the face that she keeps in a jar by the door<br/>Who is it for?<br/>,<br/>All the lonely people<br/>Where do they all come from?<br/>All the lonely people<br/>Where do they all belong?<br/>,,,,,,,,,,,,,,,,,,,<br/>Father McKenzie<br/>Writing the words of a sermon that no one will hear<br/>No one comes near<br/>Look at him working<br/>Darning his socks in the night when there's nobody there<br/>What does he care?,,"<br/>Ah, look at all the lonely people!<br/>Ah, look at all the lonely people!<br/>",,,,
