,title,date,album,lyrics
76,Day Tripper,"December 3, 1965",Yesterday and Today,"

[Verse 1: Paul McCartney & John Lennon]
Got a good reason
For taking the easy way out
Got a good reason
For taking the easy way out, now

[Chorus: Paul McCartney & John Lennon]
She was a day tripper
A one way ticket, yeah
It took me so long
To find out, and I found out

[Verse 2: Paul McCartney & John Lennon]
She's a big teaser
She took me half the way there
She's a big teaser
She took me half the way there, now

[Chorus: Paul McCartney & John Lennon]
She was a day tripper
A one way ticket, yeah
It took me so long
To find out, and I found out

[Guitar Solo: John Lennon]

[Verse 3: Paul McCartney & John Lennon]
Tried to please her
She only played one night stands
Tried to please her
She only played one night stands, now

[Chorus: Paul McCartney & John Lennon]
She was a day tripper
A Sunday driver, yeah
It took me so long
To find out, and I found out

[Outro: Paul McCartney & John Lennon]
Day tripper
Day tripper, yeah
Day tripper
Day tripper, yeah
Day tripper

"
77,Birthday,"November 22, 1968",The Beatles (The White Album),"

[Verse 1: Paul McCartney and John Lennon]
They say it's your birthday
Well, it's my birthday too, yeah
They say it's your birthday
We're gonna have a good time
I'm glad it's your birthday
Happy birthday to you

[Interlude: Paul McCartney]
One, two, three, four, five, six, seven, eight!

[Bridge 1: John Lennon, & McCartney, & McCartney and George Harrison]
Yes, we're going to a party, party
Yes, we're going to a party, party
Yes, we're going to a party, party

[Bridge 2: Paul McCartney]
I would like you to dance (Birthday)
Take a cha-cha-cha-chance (Birthday)
I would like you to dance (Birthday)
Dance, yeah, woo, come on (Come on)

[Instrumental Verse]

[Bridge 2: Paul McCartney]
I would like you to dance (Birthday)
Take a cha-cha-cha-chance (Birthday)
I would like you to dance (Birthday)
Woo, dance! Dance!

[Verse 2: Paul McCartney and John Lennon]
They say it's your birthday
Well, it's my birthday too, yeah
They say it's your birthday
We're gonna have a good time
I'm glad it's your birthday
Happy birthday to you

"
78,All My Loving,"November 22, 1963",With the Beatles,"

[Verse 1]
Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home everyday
And I'll send all my loving to you

[Verse 2]
I'll pretend that I'm kissing
The lips I am missing
And hope that my dreams will come true
And then while I'm away
I'll write home everyday
And I'll send all my loving to you

[Chorus 1]
All my loving I will send to you
All my loving, darling I'll be true

[Verse 3]
Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home everyday
And I'll send all my loving to you

[Chorus 2]
All my loving I will send to you
All my loving, darling I'll be true
All my loving, all my loving ooh
All my loving I will send to you

"
79,Fixing a Hole,"May 26, 1967",Sgt. Pepper’s Lonely Hearts Club Band,"

[Verse 1]
I'm fixing a hole where the rain gets in
And stops my mind from wandering
Where it will go

[Verse 2]
I'm filling the cracks that ran through the door
And kept my mind from wandering
Where it will go

[Bridge]
And it really doesn't matter if I'm wrong, I'm right
Where I belong, I'm right
Where I belong
See the people standing there who disagree and never win
And wonder why they don't get in my door

[Verse 3]
I'm painting the room in a colorful way
And when my mind is wandering
There I will go
Ooh, ooh, ooh, ah, ah
Hey, hey, hey, hey

[Guitar solo]

[Bridge]
And it really doesn't matter if I'm wrong, I'm right
Where I belong, I'm right
Where I belong
Silly people run around, they worry me
And never ask me why they don't get past my door

[Verse 4]
I'm taking the time for a number of things
That weren't important yesterday
And I still go
Ooh, ooh, ooh, ah, ah

[Outro]
I'm fixing a hole where the rain gets in
And stops my mind from wandering
Where it will go
Where it will go
I'm fixing a hole where the rain gets in
And stops my mind from wandering
Where it will go

"
80,Mean Mr. Mustard,"September 26, 1969",Abbey Road,"

[Verse 1]
Mean Mister Mustard sleeps in the park
Shaves in the dark trying to save paper
Sleeps in a hole in the road
Saving up to buy some clothes
Keeps a ten-bob note up his nose
Such a mean old man
Such a mean old man

[Verse 2]
His sister Pam works in a shop
She never stops, she's a go-getter
Takes him out to look at the Queen
Only place that he's ever been
Always shouts out something obscene
Such a dirty old man
Dirty old man

"
81,Drive My Car,"December 3, 1965",Rubber Soul (UK),"

[Verse 1]
Asked a girl what she wanted to be
She said baby, can't you see
I wanna be famous, a star on the screen
But you can do something in between

[Chorus]
Baby, you can drive my car
Yes, I'm gonna be a star
Baby, you can drive my car
And maybe I'll love you

[Verse 2]
I told that girl that my prospects were good
And she said baby, it's understood
Working for peanuts is all very fine
But I can show you a better time

[Chorus]
Baby, you can drive my car
Yes, I'm gonna be a star
Baby, you can drive my car
And maybe I'll love you

Beep beep'm beep beep yeah!

[Guitar Solo]

[Chorus]
Baby, you can drive my car
Yes, I'm gonna be a star
Baby, you can drive my car
And maybe I'll love you

[Verse 3]
I told that girl I can start right away
When she said listen, babe, I got something to say
I got no car and it's breakin' my heart
But I've found a driver and that's a start

[Chorus]
Baby, you can drive my car
Yes, I'm gonna be a star
Baby, you can drive my car
And maybe I'll love you

[Outro]
Beep beep'm beep beep, yeah!
Beep beep'm beep beep, yeah!
Beep beep'm beep beep, yeah!

"
82,Please Please Me,"January 11, 1963",Please Please Me,"

[Verse 1]
Last night, I said these words to my girl
I know you never even try, girl

[Chorus]
Come on (Come on), come on (Come on)
Come on (Come on), come on (Come on)
Please please me, whoa yeah, like I please you

[Verse 2]
You don't need me to show the way, love
Why do I always have to say, love?

[Chorus]
Come on (Come on), Come on (Come on)
Come on (Come on), Come on (Come on)
Please please me, whoa yeah, like I please you

[Bridge]
I don't want to sound complaining
But you know there's always rain in my heart (In my heart)
I do all the pleasing with you it's so hard to reason
With you, whoa yeah, why do you make me blue?

[Verse 3]
Last night, I said these words to my girl
I know I never even try girl

[Chorus]
Come on (Come on) Come on (Come on)
Come on (Come on) Come on (Come on)
Please, please me, whoa yeah, like I please you
Me, whoa yeah, like I please you
Me, whoa yeah, like I please you
Me, whoa yeah, like I please you

"
83,Sexy Sadie,"November 22, 1968",The Beatles (The White Album),"

[Verse 1]
Sexy Sadie, what have you done?
You made a fool of everyone
You made a fool of everyone
Sexy Sadie, oh, what have you done?

[Verse 2]
Sexy Sadie, you broke the rules
You laid it down for all to see
You laid it down for all to see
Sexy Sadie, oh, you broke the rules

[Bridge 1]
One sunny day, the world was waiting for a lover (Sexy Sadie)
She came along to turn on everyone
Sexy Sadie, the greatest of them all (Sexy Sadie, she's the greatest)

[Verse 3]
Sexy Sadie, how did you know?
The world was waiting just for you
The world was waiting just for you
Sexy Sadie, oh, how did you know?

[Verse 4]
Sexy Sadie, you'll get yours yet
However big you think you are
However big you think you are
Sexy Sadie, oh, you'll get yours yet

[Bridge 2]
We gave her everything we owned just to sit at her table
(Sexy Sadie)
Just a smile would lighten everything
Sexy Sadie, she's the latest and the greatest of them all

[Outro]
Ooh woo
She made a fool of everyone
Sexy Sadie
However big you think you are
Sexy Sadie

"
84,You’ve Got to Hide Your Love Away,"August 6, 1965",Help! (UK),"

[Verse 1]
Here I stand head in hand
Turn my face to the wall
If she's gone I can't go on
Feeling two-foot small
Everywhere people stare
Each and every day
I can see them laugh at me
And I hear them say

[Chorus]
Hey, you've got to hide your love away
Hey, you've got to hide your love away

[Verse 2]
How can I even try
I can never win
Hearing them, seeing them
In the state I'm in
How could she say to me
Love will find a way
Gather round all you clowns
Let me hear you say

[Chorus]
Hey, you've got to hide your love away
Hey, you've got to hide your love away

"
85,Lovely Rita,"May 26, 1967",Sgt. Pepper’s Lonely Hearts Club Band,"

[Intro: John Lennon, Paul McCartney & George Harrison]
Lovely Rita, meter maid
Lovely Rita, meter maid

[Chorus 1: Paul McCartney]
Lovely Rita, meter maid
Nothing can come between us
When it gets dark I tow your heart away

[Verse 1: Paul McCartney]
Standing by a parking meter
When I caught a glimpse of Rita
Filling in a ticket in her little white book
In a cap she looked much older
And the bag across her shoulder
Made her look a little like a military man

[Chorus 2: Paul McCartney and (Lennon, McCartney & Harrison)]
Lovely Rita, meter maid
May I inquire discreetly (Lovely Rita)
When are you free to take some tea with me? (Lovely Rita maid! Ahh-ah-ah)
Rita!

[Piano Solo]

[Verse 2: Paul McCartney]
Took her out and tried to win her
Had a laugh and over dinner
Told her I would really like to see her again
Got the bill and Rita paid it
Took her home, I nearly made it
Sitting on the sofa with a sister or two

[Chorus 3: Paul McCartney]
Oh, lovely Rita meter maid
Where would I be without you?
Give us a wink and make me think of you

[Outro: John Lennon, Paul McCartney, & George Harrison and (Paul McCartney)]
Lovely Rita meter maid (Lovely meter maid)
Lovely Rita meter maid (Rita meter maid)
Lovely Rita meter maid (Oh Lovely Rita, meter meter maid)
Lovely Rita meter maid
Ah da, ah da, ah da, ah da
Ah da, ah da, ah da, ah da
Ah da, ah da, ah da, ah da
Ah da, ah da, ah da, ah da

"
86,If I Fell,"July 10, 1964",A Hard Day’s Night (UK),"

[Intro: John Lennon]
If I fell in love with you
Would you promise to be true
And help me understand
'Cause I've been in love before
And I found that love was more
Than just holding hands

[Verse 1: Paul McCartney & John Lennon]
If I give my heart to you
I must be sure
From the very start
That you would love me more than her

[Verse 2: Paul McCartney & John Lennon]
If I trust in you, oh please
Don't run and hide
If I love you too, oh please
Don't hurt my pride like her

[Bridge]
'Cause I couldn't stand the pain
And I
Would be sad if our new love
Was in vain

[Verse 3: Paul McCartney & John Lennon]
So I hope you see that I
Would love to love you
And that she will cry
When she learns we are two

[Bridge: Paul McCartney & John Lennon]
'Cause I couldn't stand the pain
And I
Would be sad if our new love
Was in vain

[Verse 4: Paul McCartney & John Lennon]
So I hope you see that I
Would love to love you
And that she will cry
When she learns we are two

[Outro: Paul McCartney & John Lennon]
If I fell in love with you

"
87,The Continuing Story of Bungalow Bill,"November 22, 1968",George Martin,"

[Chorus]
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?

[Verse 1]
He went out tiger hunting with his elephant and gun
In case of accidents, he always took his mum
He's the all American, bullet-headed, Saxon mother's son
All the children sing

[Chorus]
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?

[Verse 2]
Deep in the jungle, where the mighty tiger lies
Bill and his elephants were taken by surprise
So Captain Marvel zapped him right between the eyes
All the children sing

[Chorus]
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?

[Verse 3]
The children asked him if to kill was not a sin
""Not when he looked so fierce,"" his mummy butted in
""If looks could kill, it would have been us instead of him""
All the children sing

[Chorus]
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?

[Outro]
Eh, up!

"
88,Got to Get You into My Life,"August 5, 1966",Revolver (UK),"

[Verse 1]
I was alone, I took a ride
I didn't know what I would find there
Another road where maybe I
Could see another kind of mind there
Ooh, then I suddenly see you
Ooh, did I tell you I need you
Every single day of my life?

[Verse 2]
You didn't run, you didn't lie
You knew I wanted just to hold you
And had you gone, you knew in time
We'd meet again, for I had told you
Ooh, you were meant to be near me
Ooh, and I want you to hear me
Say we'll be together every day

[Refrain]
Got to get you into my life

[Verse 3]
What can I do, what can I be?
When I'm with you I want to stay there
If I'm true, I'll never leave
And if I do, I know the way there
Ooh, then I suddenly see you
Ooh, did I tell you I need you
Every single day of my life

[Refrain]
Got to get you into my life

[Break]

[Chorus]
I've got to get you into my life

[Outro]
I was alone, I took a ride
I didn't know what I would find there
Another road where maybe I
Could see another kind of mind there
And suddenly I see you
Did I tell you I need you
Every single day of my life?

"
89,She Said She Said,"August 5, 1966",Revolver (UK),"

[Verse 1]
She said, ""I know what it's like to be dead
I know what it is to be sad""
And she's making me feel like I've never been born

[Verse 2]
I said, ""who put all those things in your head?
Things that make me feel that I'm mad
And you're making me feel like I've never been born""

[Bridge]
She said, ""you don't understand what I've said""
I said, ""no, no, no, you're wrong""
When I was a boy everything was right
Everything was right

[Verse 3]
I said, ""even though you know what you know
I know that I'm ready to leave
'Cause you're making me feel like I've never been born""

[Bridge]
She said, ""you don't understand what I said""
I said, ""no, no, no, you're wrong""
When I was a boy everything was right
Everything was right

[Verse 4]
I said, ""even though you know what you know
I know that I'm ready to leave
'Cause you're making me feel like I've never been born""

[Outro]
She said, ""I know what it's like to be dead
I know what it is to be sad
I know what it's like to be dead""

"
90,Ticket to Ride,"April 9, 1965",Help! (UK),"

[Verse 1]
I think I'm going to be sad, I think it's today, yeah
The girl that's driving me mad is going away

[Chorus]
She's got a ticket to ride
She's got a ticket to ride
She's got a ticket to ride but she don't care

[Verse 2]
She said that living with me is bringing her down, yeah
She would never be free when I was around

[Chorus]
She's got a ticket to ride
She's got a ticket to ride
She's got a ticket to ride but she don't care

[Bridge]
I don't know why she's riding so high
She ought to think twice, she ought to do right by me
Before she gets to saying goodbye
She ought to think twice, she ought to do right by me

[Verse 3]
I think I'm going to be sad, I think it's today, yeah
The girl that's driving me mad is going away, yeah

[Chorus]
Oh, she's got a ticket to ride
She's got a ticket to ride
She's got a ticket to ride but she don't care

[Bridge]
I don't know why she's riding so high
She ought to think twice, she ought to do right by me
Before she gets to saying goodbye
She ought to think twice, she ought to do right by me

[Verse 4]
She said that living with me is bringing her down, yeah
She would never be free when I was around

[Chorus]
Oh, she's got a ticket to ride
She's got a ticket to ride
She's got a ticket to ride but she don't care

[Outro]
My baby don't care
My baby don't care
My baby don't care
My baby don't care
My baby don't care
My baby don't care

"
91,Savoy Truffle,"November 22, 1968",The Beatles (The White Album),"

[Verse 1]
Creme tangerine and Montelimar
A ginger sling with a pineapple heart
Coffee dessert, yes, you know it's Good News
But you'll have to have them all pulled out
After the Savoy truffle

[Verse 2]
Cool cherry cream and a nice apple tart
I feel your taste all the time we're apart
Coconut fudge really blows down the blues
But you'll have to have them all pulled out
After the Savoy truffle

[Bridge 1]
You might not feel it now
But when the pain cuts through
You're going to know and how
The sweat is going to fill your head
When it becomes too much
You'll shout aloud

[Guitar Solo]

[Refrain]
But you'll have to have them all pulled out
After the Savoy truffle

[Bridge 2]
You know that what you eat you are
But what is sweet now, turns so sour
We all know Ob-La-Di-Bla-Da
But can you show me, where you are?

[Verse 1]
Creme tangerine and Montelimar
A ginger sling with a pineapple heart
Coffee dessert, yes, you know it's Good News
But you'll have to have them all pulled out
After the Savoy truffle

[Outro]
Yes, you'll have to have them all pulled out
After the Savoy truffle

"
92,Lady Madonna,"March 15, 1968",Hey Jude,"

[Intro: Instrumental]

[Verse 1: Paul McCartney]
Lady Madonna, children at your feet
Wonder how you manage to make ends meet
Who finds the money when you pay the rent?
Did you think that money was heaven sent?

[Bridge 1: Paul McCartney]
Friday night arrives without a suitcase
Sunday morning creeping like a nun
Monday's child has learned to tie his bootlace
See how they run

[Verse 2: Paul McCartney]
Lady Madonna, baby at your breast
Wonders how you manage to feed the rest

[Bridge 2: Paul McCartney, John Lennon & George Harrison]
[Tenor Saxophone Solo: Ronnie Scott]
See how they run

[Verse 3: Paul McCartney]
Lady Madonna lying on the bed
Listen to the music playing in your head

[Bridge 3: Paul McCartney]
Tuesday afternoon is never ending
Wednesday morning papers didn't come
Thursday night your stockings needed mending
See how they run

[Verse 4: Paul McCartney]
Lady Madonna, children at your feet
Wonder how you manage to make ends meet

[Outro: Instrumental]

"
93,Run for Your Life,"December 3, 1965",Rubber Soul (UK),"

[Verse 1: John Lennon]
Well I'd rather see you dead, little girl
Than to be with another man
You better keep your head, little girl
Or I won't know where I am

[Chorus: John Lennon & Paul McCartney]
You better run for your life if you can, little girl
Hide your head in the sand little girl
Catch you with another man
That's the end, little girl

[Verse 2: John Lennon]
Well you know that I'm a wicked guy
And I was born with a jealous mind
And I can't spend my whole life
Trying just to make you toe the line

[Chorus: John Lennon & Paul McCartney]
You better run for your life if you can, little girl
Hide your head in the sand little girl
Catch you with another man
That's the end, little girl

[Verse 3: John Lennon]
Let this be a sermon
I mean everything I've said
Baby, I'm determined
And I'd rather see you dead

[Chorus: John Lennon & Paul McCartney]
You better run for your life if you can, little girl
Hide your head in the sand little girl
Catch you with another man
That's the end, little girl

[Verse 4: John Lennon]
I'd rather see you dead, little girl
Than to be with another man
You better keep your head, little girl
Or you won't know where I am

[Chorus: John Lennon & Paul McCartney]
You better run for your life if you can, little girl
Hide your head in the sand little girl
Catch you with another man
That's the end, little girl

[Outro: John Lennon]
Na, na, na
Na, na, na
Na, na, na
Na, na, na

"
94,Revolution 1,"November 22, 1968",The Beatles (The White Album),"

[Intro: Geoff Emerick & John Lennon]
Take two
Okay

[Verse 1]
You say you want a revolution
Well, you know
We all wanna change the world
You tell me that it's evolution
Well, you know
We all wanna change the world

[Pre-Chorus]
But when you talk about destruction
Don't you know that you can count me out, in

[Chorus]
Don't you know it's gonna be all right
Don't you know it's gonna be all right
Don't you know it's gonna be all right

[Verse 2]
You say you got a real solution
Well, you know
We'd all love to see the plan
You ask me for a contribution
Well, you know
We're all doing what we can

[Pre-Chorus]
But if you want money for people with minds that hate
Well, all I can tell you is, brother, you have to wait

[Chorus]
Don't you know it's gonna be all right
Don't you know it's gonna be all right
Don't you know it's gonna be all right

[Verse 3]
You say you'll change the constitution
Well, you know
We'd all love to change your head
You tell me it's the institution
Well, you know
You better free your mind instead

[Pre-Chorus]
But if you go carrying pictures of chairman Mao
You ain't gonna make it with anyone anyhow

[Chorus]
Don't you know it's gonna be all right
Don't you know it's gonna be all right
Don't you know it's gonna be all right

[Outro]
All, all, all, all, all, all, all, all, all, all, all right, all right
All right, all right, all right
All right, all right, all right
All right, all right, all right

"
95,Piggies,"November 22, 1968",The Beatles (The White Album),"

[Verse 1]
Have you seen the little piggies crawling in the dirt?
And for all the little piggies, life is getting worse
Always having dirt to play around in

[Verse 2]
Have you seen the bigger piggies in their starched white shirts?
You will find the bigger piggies stirring up the dirt
Always have clean shirts to play around in

[Bridge]
In their sties with all their backing
They don't care what goes on around
In their life, there's something lacking
What they need's a damn good whacking!

[Verse 3]
Everywhere there's lots of piggies living piggy lives
You can see them out for dinner with their piggy wives
Clutching forks and knives to eat their bacon

[Outro]
One more time

"
96,Get Back,"May 8, 1970",George Martin,"

[Intro: Paul McCartney & John Lennon]
Rosetta...
Sweet Loretta Fart she thought she was a cleaner
But she was a frying pan
Sweet Rosetta Martin... Rosetta
The picker, the picker, picture the fingers burning
Ooh
Okay

[Verse 1: Paul McCartney]
Jojo was a man who thought he was a loner
But he knew it couldn't last
Jojo left his home in Tucson, Arizona
For some California grass

[Chorus: Paul McCartney]
Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged
Get back, Jojo

[​​Interlude: Paul McCartney]
Go home

[Chorus: Paul McCartney & John Lennon]
Get back, get back
Back to where you once belonged
Get back, get back
Back to where you once belonged
Get back, Jo

[Electric Piano Solo: Billy Preston]

[Verse 2: Paul McCartney]
Sweet Loretta Martin thought she was a woman
But she was another man
All the girls around her say she's got it coming
But she gets it while she can

[Chorus: Paul McCartney]
Oh, get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged
Get back, Loretta

[​​Interlude: Paul McCartney]
Hoo
Go home

[Chorus: Paul McCartney]
Oh, get back, yeah, get back
Get back to where you once belonged
Yeah, get back, get back
Get back to where you once belonged

[Outro: Paul McCartney & John Lennon]
Get back
Ooh
Thanks, Moe
I'd like to say thank you on behalf of the group and ourselves, and I hope we passed the audition

"
97,Her Majesty,"September 26, 1969",Abbey Road,"

[Verse]
Her Majesty's a pretty nice girl
But she doesn't have a lot to say
Her Majesty's a pretty nice girl
But she changes from day to day
I want to tell her that I love her a lot
But I gotta get a bellyful of wine
Her Majesty's a pretty nice girl
Someday I'm going to make her mine, oh yeah
Someday I'm going to make her mine

"
98,"Long, Long, Long","November 22, 1968",The Beatles (The White Album),"

[Verse 1]
It's been a long, long, long time
How could I ever have lost you
When I loved you?

[Verse 2]
It took a long, long, long time
Now I'm so happy I found you
How I love you

[Bridge]
So many tears I was searching
So many tears I was wasting, oh, oh

[Verse 3]
Now I can see you, be you
How can I ever misplace you?
How I want you
Oh, I love you
You know that I need you
Oh, I love you

"
99,And Your Bird Can Sing,"August 5, 1966",Yesterday and Today,"

[Verse 1]
You tell me that you've got everything you want
And your bird can sing
But you don't get me
You don't get me

[Verse 2]
You say you've seen seven wonders
And your bird is green
But you can't see me
You can't see me

[Bridge 1]
When your prized possessions
Start to weigh you down
Look in my direction
I'll be 'round, I'll be 'round

[Instrumental]

[Bridge 2]
When your bird is broken
Will it bring you down?
You may be awoken
I'll be 'round, I'll be 'round

[Verse 3]
You tell me that you've heard every sound there is
And your bird can swing
But you can't hear me
You can't hear me

"
100,Yer Blues,"November 22, 1968",The Beatles (The White Album),"

[Intro]
Two, three...

[Verse 1]
Yes, I'm lonely
Want to die
Yes, I'm lonely
Want to die
If I ain't dead already, woo
Girl, you know the reason why

[Verse 2]
In the morning
Want to die
In the evening
Want to die
If I ain't dead already, woo
Girl, you know the reason why

[Verse 3]
My mother was of the sky
My father was of the earth
But I am of the universe
And you know what it's worth
I'm lonely
Want to die
If I ain't dead already, woo
Girl, you know the reason why

[Verse 4]
The eagle picks my eye
The worm he licks my bones
I feel so suicidal
Just like Dylan's Mr. Jones
Lonely
Want to die
If I ain't dead already, woo
Girl, you know the reason why

[Verse 5]
Black cloud crossed my mind
Blue mist round my soul
Feel so suicidal
Even hate my rock and roll
Want to die
Yeah, want to die
If I ain't dead already, woo
Girl, you know the reason why

"
101,Martha My Dear,"November 22, 1968",The Beatles (The White Album),"

[Intro]

[Verse 1]
Martha, my dear
Though I spend my days in conversation
Please, remember me
Martha, my love
Don't forget me
Martha, my dear

[Bridge 1]
Hold your head up, you silly girl
Look what you've done
When you find yourself in the thick of it
Help yourself to a bit of what is all around you
Silly girl

[Bridge 2]
Take a good look around you
Take a good look, you're bound to see
That you and me were meant to be for each other
Silly girl

[Instrumental break]

[Bridge 1]
Hold your hand out, you silly girl
See what you've done
When you find yourself in the thick of it
Help yourself to a bit of what is all around you
Silly girl

[Verse 2]
Martha, my dear
You have always been my inspiration
Please, be good to me
Martha, my love
Don't forget me
Martha, my dear

"
102,Good Night,"November 22, 1968",The Beatles (The White Album),"

[Verse 1]
Now it's time to say good night
Good night, sleep tight
Now the sun turns out his light
Good night, sleep tight

[Bridge]
Dream sweet dreams for me (Dream sweet)
Dream sweet dreams for you (Dream sweet dreams)

[Verse 2]
Close your eyes and I'll close mine
Good night, sleep tight
Now the moon begins to shine
Good night, sleep tight

[Bridge]
Dream sweet dreams for me (Dream sweet)
Dream sweet dreams for you (Dream sweet dreams)

[Instrumental bridge]
Mmm

[Verse 2]
Close your eyes and I'll close mine
Good night, sleep tight
Now the sun turns out his light
Good night, sleep tight

[Bridge]
Dream sweet dreams for me (Dream sweet)
Dream sweet dreams for you (Dream sweet dreams)

[Outro]
Good night
Good night, everybody
Everybody, everywhere
Good night

"
103,I’ve Got a Feeling,"May 8, 1970",Phil Spector,"

[Verse 1: Paul McCartney]
I've got a feeling, a feeling deep inside
Oh yeah, oh yeah, that's right
I've got a feeling, a feeling I can't hide
Oh no, no, oh no! Oh no
Yeah, yeah! I've got a feeling, yeah!

[Verse 2: Paul McCartney and John Lennon]
Oh please, believe me, I'd hate to miss the train
Oh yeah, yeah, oh yeah!
And if you leave me I won't be late again
Oh no, oh no! Oh no
Yeah, yeah! I've got a feeling, yeah!
I've got a feeling

[Bridge: Paul McCartney]
All these years I've been wandering around
Wondering how come nobody told me
All that I was looking for was somebody who looked like you!

[Verse 3: Paul McCartney]
I've got a feeling, that keeps me on my toes
Oh yeah, oh yeah (oh yeah!)
I've got a feeling, I think that everybody knows
Oh yeah, oh yeah! Oh yeah
Yeah, yeah! I've got a feeling, yeah!
Yeah

[Verse 4: John Lennon and (Paul McCartney)]
Everybody had a hard year
Everybody had a good time
Everybody had a wet dream
Everybody saw the sunshine
Oh yeah, (oh yeah) oh yeah, oh yeah (yeah)

[Verse 5: John Lennon and (Paul McCartney)]
Everybody had a good year
Everybody let their hair down
Everybody pulled their socks up (yeah)
Everybody put their foot down, oh yeah

[Verse 6: Paul McCartney and (John Lennon)]
Yeah, woo-hoo!
I've got a feeling (Everybody had a good year)
A feeling deep inside (Everybody had a hard time)
Oh yeah (Everybody had a wet dream)
Oh yeah (Everybody saw the sunshine)
I've got a feeling (Everybody had a good year)
A feeling I can't hide (Everybody let their hair down)
Oh no (Everybody pulled their socks up)
Oh no, no (Everybody put their foot down, oh yeah)
Yeah, yeah!

[Outro: Paul McCartney and (John Lennon) ]
I've got a feeling (Oh yeah)
I've got a feeling (Oh yeah)
I've got a feeling
Yeah yeah yeah yeah
(Oh my soul, so hard.)

"
104,Dig a Pony,"May 8, 1970",Let It Be,"

[Verse 1]
I dig a pony
Well, you can celebrate anything you want
Yes, you can celebrate anything you want
Oh!
I do a road hog
Well, you can penetrate any place you go
Yes, you can penetrate any place you go
I told you so

[Chorus]
All I want is you
Everything has got to be just like you want it to
Because

[Verse 2]
I pick a moon dog
Well, you can radiate everything you are
Yes, you can radiate everything you are
Oh, now
I roll a stoney
Well, you can imitate everyone you know
Yes, you can imitate everyone you know
I told you so

[Chorus]
All I want is you
Everything has got to be just like you want it to
Because

[Guitar Solo]

[Verse 3]
Ooh, now
I feel the wind blow
Well, you can indicate everything you see
Yes, you can indicate anything you see
Oh now
I load a lorry
Well, you can syndicate any boat you row
Yeah, you can syndicate any boat you row
I told you so

[Chorus]
All I want is you
Everything has got to be just like you want it to
Because

"
105,We Can Work It Out,"December 3, 1965",Yesterday and Today,"

[Verse 1: Paul McCartney]
Try to see it my way
Do I have to keep on talking till I can't go on?
While you see it your way
Run the risk of knowing that our love may soon be gone

[Chorus: Paul McCartney]
We can work it out
We can work it out

[Verse 2: Paul McCartney]
Think of what you're saying
You can get it wrong and still you think that it's alright
Think of what I'm saying
We can work it out and get it straight or say good night

[Chorus: Paul McCartney]
We can work it out
We can work it out

[Bridge: Paul McCartney & John Lennon]
Life is very short and there's no time
For fussing and fighting, my friend
I have always thought that it's a crime
So I will ask you once again

[Verse 3: Paul McCartney]
Try to see it my way
Only time will tell if I am right or I am wrong
While you see it your way
There's a chance that we might fall apart before too long

[Chorus: Paul McCartney]
We can work it out
We can work it out

[Bridge: Paul McCartney & John Lennon]
Life is very short and there's no time
For fussing and fighting, my friend
I have always thought that it's a crime
So I will ask you once again

[Verse 4: Paul McCartney]
Try to see it my way
Only time will tell if I am right or I am wrong
While you see it your way
There's a chance that we might fall apart before too long

[Chorus: Paul McCartney]
We can work it out
We can work it out

"
