,[Verse 1: John Lennon],[Verse 2: John Lennon],[Refrain: John Lennon],[Bridge: Paul McCartney],title,[Verse 1],[Verse 2],[Bridge],[Verse 2]2,[Chorus],[Chorus]2,[Verse 3],[Chorus]3,[x2],[Intro],[Bridge 1],[Instrumental],[Bridge 2],[Pre-Chorus],[Verse 1: John Lennon]2,[Chorus 1],[Paul McCartney],[Bridge]2,[Verse],[Chorus 2],[Chorus 3],[Verse 4],[Verse 1: Paul McCartney and John Lennon],[Interlude: Paul McCartney],"[Bridge 1: John Lennon, <br/>& McCartney<br/>, <br/>& McCartney and George Harrison<br/>]",[Bridge 2: Paul McCartney],[Instrumental Verse],[Bridge 2: Paul McCartney]2,[Instrumental Break],[Outro],[Guitar Solo],[Instrumental Break 0:23-0:44],[Transition],[Engineer],[Verse 1]2,[Interlude],[Verse 1: Paul McCartney & John Lennon],[Chorus: Paul McCartney & John Lennon],[Verse 2: Paul McCartney & John Lennon],[Chorus: Paul McCartney & John Lennon]2,[Guitar Solo: John Lennon],[Spoken],[Chorus: John Lennon & Paul McCartney],[Verse 1: John Lennon & Paul McCartney],[Chorus: John Lennon & Paul McCartney]2,[Bridge: John Lennon & Paul McCartney & George Harrison],[Chorus: John Lennon & Paul McCartney]3,"[Intro: Paul McCartney, John Lennon, George Harrison]",[Verse 1: Paul McCartney],[Chorus: Paul McCartney],[Verse 2: Paul McCartney]
38,,,,,Dig It,,,,,,,,,,,,,,,,,,,"<br/>Like a rolling stone<br/>Like a rolling stone<br/>Like a rolling stone<br/>Like the FBI<br/>And the CIA<br/>And the BBC<br/>B.B. King<br/>And <br/>Doris Day<br/>Matt Busby<br/>, dig it, <br/>dig it<br/>Dig it, dig it, dig it<br/>",,,,,,,,,,,,,,,,,,,,,,,"<br/>That was ""Can You Dig It"" by <br/>Georgie Wood<br/>And now we'd like to do <br/>""Hark the Angels Come""",,,,,,,,,
39,,,,,Because,"<br/>Because the world is round, it turns me on<br/>Because the world is round<br/>Ahh<br/>","<br/>Because the wind is high, it blows my mind<br/>Because the wind is high<br/>Ahh<br/>","<br/>Love is old, love is new<br/>Love is all, love is you<br/>",,,,"<br/>Because the sky is blue, it makes me cry<br/>Because the sky is blue<br/>",,,<br/>Ahh<br/>,,,,,,,,,,,,,,,,,,,,"<br/>Ah-ah-ah-ah-ah<br/>Ah, ahh-ah, ahh-ah-ah<br/>Ah-ah-ah-ah-ah-ah<br/>Ah, ahh, ahh, ahh<br/>Ahh<br/>Ah-ah-ah-ah-ah<br/>Ahh",,,,,,,,,,,,,,,,,,,,,
40,,,,,Cry Baby Cry,<br/>The king of Marigold was in the kitchen<br/>Cooking breakfast for the queen<br/>The queen was in the parlour<br/>Playing piano for the children of the king<br/>,<br/>The king was in the garden<br/>Picking flowers for a friend who came to play<br/>The queen was in the playroom<br/>Painting pictures for the children's holiday<br/>,,,<br/>Cry baby cry<br/>Make your mother sigh<br/>She's old enough to know better<br/>So cry baby cry<br/>,<br/>Cry baby cry<br/>Make your mother sigh<br/>She's old enough to know better<br/>So cry baby cry,,,,<br/>Cry baby cry<br/>Make your mother sigh<br/>She's old enough to know better<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,Dig a Pony,"<br/>I dig a pony<br/>Well, you can celebrate anything you want<br/>Yes, you can celebrate anything you want<br/>Oh!<br/>I do a <br/>road hog<br/>Well, you can penetrate any place you go<br/>Yes, you can penetrate any place you go<br/>I told you so<br/>","<br/>I pick a moon dog<br/>Well, you can radiate everything you are<br/>Yes, you can radiate everything you are<br/>Oh, now<br/>I roll a stoney<br/>Well, you can imitate everyone you know<br/>Yes, you can imitate everyone you know<br/>I told you so<br/>",,,<br/>All I want is you<br/>Everything has got to be just like you want it to<br/>Because<br/>,<br/>All I want is you<br/>Everything has got to be just like you want it to<br/>Because,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,Anna (Go to Him),"<br/>Anna<br/>You come and ask me, girl<br/>To set you free, girl<br/>You say he loves you more than me, so I will set you free<br/>Go with him (Anna)<br/>Go with him (Anna)<br/>","<br/>Anna<br/>Girl, before you go now<br/>I want you to know, now<br/>That I still love you so, but if he loves you more<br/>Go with him<br/>",,,"<br/>All of my life<br/>I've been searching for a girl<br/>To love me like I love you<br/>Oh, now, but every girl I've ever had<br/>Breaks my heart and leaves me sad<br/>What am I, what am I supposed to do?<br/>Oh-oh-oh-oh-oh-oh<br/>",,"<br/>Anna<br/>Just one more thing, girl<br/>You give back your ring to me, and I will set you free<br/>Go with him",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,Christmas Time (Is Here Again),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,Dear Prudence,"<br/>Dear Prudence<br/>Won't you come out to play?<br/>Dear Prudence<br/>Greet the brand new day, hey<br/>The sun is up, the sky is blue<br/>It's beautiful, and so are you<br/>Dear Prudence<br/>Won't you come out to play?<br/>","<br/>Dear Prudence<br/>Open up your eyes<br/>Dear Prudence<br/>See the sunny skies<br/>The wind is low, the birds will sing<br/>That you are part of everything<br/>Dear Prudence<br/>Won't you open up your eyes?<br/>","<br/>Look around, round, round<br/>Look around, round, round<br/>Look around",,,,,,,<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,Don’t Let Me Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<br/>Don't let me down, don't let me down<br/>Don't let me down, don't let me down<br/>","<br/>Nobody ever loved me like she does<br/>Oh, she does<br/>Yeah, she does<br/>And if somebody loved me like she do me<br/>Oh, she do me<br/>Yes, she does<br/>","<br/>Don't let me down, don't let me down<br/>Don't let me down, don't let me down<br/>",<br/>I'm in love for the first time<br/>Don't you know it's gonna last<br/>It's a love that lasts forever<br/>It's a love that has no past (Seeking past)<br/>,"<br/>Don't let me down, don't let me down<br/>Don't let me down, don't let me down",,,,
46,"<br/>Ooh, I need your love, babe<br/>Guess you know it's true<br/>Hope you need my love, babe<br/>Just like I need you<br/>","<br/>Love you everyday, girl<br/>Always on my mind<br/>One thing I can say girl<br/>Love you all the time<br/>",,,Eight Days a Week,,,,,,,,,,<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<br/>Hold me, love me<br/>Hold me, love me<br/>I ain't got nothing but love, babe<br/>Eight days a week<br/>",,"<br/>Hold me, love me<br/>Hold me, love me<br/>I ain't got nothing but love, girl<br/>Eight days a week",,,,,,
47,,,,,Doctor Robert,"<br/>Ring, my friend I said you'd call<br/>Doctor Robert<br/>Day or night he'll be there any time at all<br/>Doctor Robert<br/>",<br/>If you're down he'll pick you up<br/>Doctor Robert<br/>Take a drink from his special cup<br/>Doctor Robert<br/>,,,,,,,,,,,,,,<br/>Doctor Robert<br/>You're a new and better man<br/>He helps you to understand<br/>He does everything he can<br/>Doctor Robert<br/>,,,,<br/>Doctor Robert<br/>He's a man you must believe<br/>Helping anyone in need<br/>No one can succeed like<br/>Doctor Robert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,Don’t Pass Me By,"<br/>I listen for your footsteps coming up the drive<br/>Listen for your footsteps, but they don't arrive<br/>Waiting for your knock, dear, on my old front door<br/>I don't hear it--does it mean you don't love me any more?<br/>","<br/>I hear the clock a'ticking on the mantel shelf<br/>See the hands a'moving, but I'm by myself<br/>I wonder where you are tonight, and why I'm by myself<br/>I don't see you, does it mean you don't love me any more?<br/>",,,"<br/>Don't pass me by, don't make me cry, don't make me blue<br/>'Cause you know, darling, I love only you<br/>You'll never know it hurt me so, how I hate to see you go<br/>Don't pass me by<br/>Don't make me cry<br/>","<br/>Don't pass me by, don't make me cry, don't make me blue<br/>'Cause you know, darling, I love only you<br/>You'll never know it hurt me so, I'll hate to see you go<br/>Don't pass me by<br/>Don't make me cry","<br/>I'm sorry that I doubted you, I was so unfair<br/>You were in a car crash, and you lost your hair<br/>You said that you would be late, about an hour or two<br/>I said that's alright, I'm waiting here, just waiting to hear from you<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,Eleanor Rigby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<br/>Ah, look at all the lonely people!<br/>Ah, look at all the lonely people!<br/>",<br/>Eleanor Rigby<br/>Picks up the rice in the church where a wedding has been<br/>Lives in a dream<br/>Waits at the window<br/>Wearing the face that she keeps in a jar by the door<br/>Who is it for?<br/>,<br/>All the lonely people<br/>Where do they all come from?<br/>All the lonely people<br/>Where do they all belong?<br/>,<br/>Father McKenzie<br/>Writing the words of a sermon that no one will hear<br/>No one comes near<br/>Look at him working<br/>Darning his socks in the night when there's nobody there<br/>What does he care?
50,,,,,Every Little Thing,"<br/>When I'm walking beside her<br/>People tell me I'm lucky<br/>Yes, I know I'm a lucky guy<br/>I remember the first time<br/>I was lonely without her<br/>Can't stop thinking about her now<br/>","<br/>When I'm with her I'm happy<br/>Just to know that she loves me<br/>Yes, I know that she loves me now<br/>There is one thing I'm sure of<br/>I will love her forever<br/>For I know love will never die<br/>",,,"<br/>Every little thing she does<br/>She does for me, yeah<br/>And you know the things she does<br/>She does for me, oooh<br/>","<br/>Every little thing she does<br/>She does for me, yeah<br/>And you know the things she does<br/>She does for me, oooh",,,,<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
